"model","year","foi_mean","foi_median","foi_lower","foi_upper","foi_lower_50","foi_upper_50","foi_per_1000","foi_per_1000_lower","foi_per_1000_upper"
"RandomWalk",1943,0.000981820076909194,0.00070168912343196,0.000112060553768165,0.00358782346366367,0.000386255294601903,0.00124352746716234,0.981820076909194,0.112060553768165,3.58782346366367
"RandomWalk",1944,0.000817029661953382,0.000611586901030095,0.00010712423758672,0.00272883609181433,0.000345026923418407,0.00105646703209609,0.817029661953382,0.10712423758672,2.72883609181433
"RandomWalk",1945,0.000710555123540643,0.000558653864628827,0.000105524121828865,0.0022407873056584,0.000322751823489556,0.000923644727369195,0.710555123540643,0.105524121828865,2.2407873056584
"RandomWalk",1946,0.000650351973996345,0.000520157029227181,0.000105933104209478,0.00192942315825657,0.000311946075266513,0.00085374542999819,0.650351973996345,0.105933104209478,1.92942315825657
"RandomWalk",1947,0.000618014393307111,0.000514534014966249,0.000112030174728637,0.00171391192387886,0.00031292313309232,0.000804805069512747,0.618014393307111,0.112030174728637,1.71391192387886
"RandomWalk",1948,0.000634265332983188,0.000534219636514642,0.000128299208709958,0.00174866858563858,0.000334804630110898,0.000820210766377031,0.634265332983188,0.128299208709958,1.74866858563858
"RandomWalk",1949,0.000690522305290221,0.000583690554741677,0.000154288771176867,0.00184386112813346,0.000379296451698724,0.000882601611547487,0.690522305290221,0.154288771176867,1.84386112813346
"RandomWalk",1950,0.000775177750406832,0.0006774560127317,0.000190038030363183,0.00191559861135348,0.000447251466552006,0.000991216157510001,0.775177750406832,0.190038030363183,1.91559861135348
"RandomWalk",1951,0.000903444533419408,0.000807009426625501,0.000240286134256593,0.00209438509826879,0.00055089429410515,0.00114774567733099,0.903444533419408,0.240286134256593,2.09438509826879
"RandomWalk",1952,0.0011000258767862,0.00100724909200124,0.000337585573915531,0.00237393603438065,0.000710119966418437,0.00139138319313027,1.1000258767862,0.337585573915531,2.37393603438065
"RandomWalk",1953,0.00145480964924891,0.0013532937553124,0.000514101734029356,0.00299052832463532,0.000997677089979279,0.00179448933747443,1.45480964924891,0.514101734029356,2.99052832463532
"RandomWalk",1954,0.00191105738639786,0.00180530478782684,0.000739289007069705,0.00367852941988285,0.00135398832598289,0.00234706776681691,1.91105738639786,0.739289007069705,3.67852941988285
"RandomWalk",1955,0.00230997999397935,0.00219120482052864,0.000932072497667446,0.0043862904231898,0.00166000266818191,0.00283041747344334,2.30997999397935,0.932072497667446,4.3862904231898
"RandomWalk",1956,0.00190422248681169,0.00182066027647122,0.000836796368258734,0.00346055224276758,0.00140882764721133,0.00230414174362847,1.90422248681169,0.836796368258734,3.46055224276758
"RandomWalk",1957,0.00162079966639323,0.00154414363856106,0.000714626030829483,0.00298200280910488,0.00119571953609092,0.00196169065072824,1.62079966639323,0.714626030829483,2.98200280910488
"RandomWalk",1958,0.00156647465877349,0.00148829366414083,0.000709320606348456,0.00286337643722607,0.00116759750970806,0.00189146841988262,1.56647465877349,0.709320606348456,2.86337643722607
"RandomWalk",1959,0.00181119880403373,0.00173788380847517,0.000837994300636208,0.00319741998615919,0.00136124876991447,0.00218096092934242,1.81119880403374,0.837994300636208,3.19741998615919
"RandomWalk",1960,0.00229743599065159,0.00222146711930062,0.00114839722102103,0.00387230551212243,0.00178966520990859,0.0027266482127017,2.29743599065159,1.14839722102103,3.87230551212243
"RandomWalk",1961,0.00304240384897166,0.00297166741465818,0.00160715736411905,0.00487374680796422,0.00242512831050515,0.00357482609351144,3.04240384897166,1.60715736411905,4.87374680796422
"RandomWalk",1962,0.00312658402328773,0.0030664851561844,0.00173124690460138,0.00490585202431856,0.002547651591829,0.00362466859200422,3.12658402328773,1.73124690460138,4.90585202431856
"RandomWalk",1963,0.0032112007717724,0.00314791523670732,0.0017475163404823,0.00501789477852178,0.00262307443715531,0.00374298902370264,3.2112007717724,1.7475163404823,5.01789477852178
"RandomWalk",1964,0.00247908870534152,0.00243325556869918,0.00135793599333126,0.00386605896801928,0.00201994686118516,0.00288555026871202,2.47908870534152,1.35793599333126,3.86605896801928
"RandomWalk",1965,0.00241771852723583,0.00237085291475589,0.00133309291793338,0.00378991429568728,0.001960492783512,0.00282630200260347,2.41771852723583,1.33309291793338,3.78991429568728
"RandomWalk",1966,0.00282542231651107,0.0027709209625927,0.00160005103877249,0.00433292058027743,0.00232049259284292,0.00327835557186398,2.82542231651107,1.60005103877249,4.33292058027743
"RandomWalk",1967,0.00287668954414563,0.00283480961183116,0.00168267073508108,0.00433467853509872,0.0023867394543808,0.00331599086705981,2.87668954414563,1.68267073508108,4.33467853509872
"RandomWalk",1968,0.00236528330273072,0.0023151138226587,0.00134774165615852,0.0036162124728753,0.00195723528602775,0.00273371985777179,2.36528330273072,1.34774165615852,3.6162124728753
"RandomWalk",1969,0.00228212341358212,0.00224627823890541,0.00129875179230022,0.00347544104526934,0.00189151266396358,0.0026388676410796,2.28212341358212,1.29875179230022,3.47544104526934
"RandomWalk",1970,0.0022683322975268,0.0022282097292864,0.00127730272681645,0.00347535050768932,0.00187260793856479,0.00262996278435965,2.2683322975268,1.27730272681645,3.47535050768932
"RandomWalk",1971,0.00167352852060703,0.00163955074637533,0.000945159491341622,0.00258751066689303,0.00136963849001341,0.00193933434170369,1.67352852060703,0.945159491341622,2.58751066689303
"RandomWalk",1972,0.00157782115300069,0.00154151728118585,0.000854984657914929,0.00247259707789917,0.00127451124597916,0.00184978609149078,1.57782115300069,0.854984657914929,2.47259707789917
"RandomWalk",1973,0.00125437083308825,0.00121963663741692,0.000667037150146969,0.00201771531881264,0.00100891577942183,0.00146596834922745,1.25437083308825,0.667037150146969,2.01771531881265
"RandomWalk",1974,0.000986424185438726,0.000954509879026492,0.000493323356366576,0.00166206640369741,0.000770823202129278,0.00116369092720233,0.986424185438726,0.493323356366576,1.66206640369741
"RandomWalk",1975,0.000764100194163271,0.000738549475493811,0.000368636072116241,0.0013023900147778,0.000594379183483844,0.000905176219821715,0.764100194163271,0.368636072116241,1.3023900147778
